,precision,recall,f1-score,support
COURT,0.9335006273525721,0.9265255292652553,0.9299999999999999,803.0
PETITIONER,0.5823817292006526,0.7300613496932515,0.647912885662432,489.0
RESPONDENT,0.6829971181556196,0.7203647416413373,0.7011834319526626,329.0
JUDGE,0.9233511586452763,0.925,0.9241748438893845,1120.0
LAWYER,0.7899761336515513,0.7662037037037037,0.7779083431257343,432.0
DATE,0.9991467576791809,0.9906937394247038,0.9949022939677146,1182.0
ORG,0.8971631205673759,0.9162516976007243,0.9066069428891378,2209.0
GPE,0.9468085106382979,0.9417989417989417,0.9442970822281167,1323.0
STATUTE,0.938185443668993,0.8953377735490009,0.9162609542356378,1051.0
PROVISION,0.9721906923950057,0.9511382565241533,0.9615492562447376,1801.0
PRECEDENT,0.9679227654936157,0.9857278782112274,0.9767441860465116,3153.0
CASE_NUMBER,0.6763925729442971,0.9375,0.7858243451463791,272.0
WITNESS,0.43790849673202614,0.7052631578947368,0.5403225806451613,285.0
OTHER_PERSON,0.9673855865334035,0.9278506559031282,0.9472057687355139,9910.0
accuracy,0.9261053409417463,0.9261053409417463,0.9261053409417463,0.9261053409417463
macro avg,0.836807908118419,0.8799798160864404,0.8539209224835088,24359.0
weighted avg,0.9333039061939159,0.9261053409417463,0.9287070686490919,24359.0
